Codigo;Estacao;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;TipoEstacao;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;RioCodigo;Rio;Jurisdicao;EstadoNome;EstadoSigla;EstadoCodigo;MunicipioCodigo;Municipio;OperadoraCodigo;OperadoraSigla;OperadoraNome;ResponsavelCodigo;ResponsavelSigla;ResponsavelNome
10012956;MISAHUALL AJ EN EL TENA;SC-18;-0,91;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10017300;EL DORADO DE CASCALES SECTOR PUENTE COLGANTE;DHN-CNAP-03;0,07;-77,25;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014130;NAPO UNION MISAHUALLI;SC-20;-1,03;-77,66;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012980;COSANGA SECTOR PUENTE;DHN-CNAP-09;-0,58;-77,86;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014100;PAYAMINO AJ NAPO;H1154;-0,44;-77;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10086800;BELLAVISTA;260102;-3,48;-73,08;110;3323;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
10013600;JATUNYACU DJ ILOCULLIN;H-721;-1,08;-77,91;570;3128;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018700;SANTA ELENA SECTOR EL CONEJO;DHN-CSMP-02;0,27;-76,4;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012600;TENIENTE HUGO ORTIZ;DHN-CNAP-16;-1,37;-77,95;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013720;RIO AGUARICO;SC-9;-0,05;-77,32;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013200;QUIJOS EN BAEZA;H-718;-0,45;-77,88;1770;866;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014000;FRANCISCO DE ORELLANA;H-1135;-0,47;-76,98;262;12200;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012955;RIO TENA DJ RIO PANO;SC-17;-0,99;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014110;RIO PAYAMINO;SC-26;-0,44;-77;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012958;RIO TENA;SC-16;-0,99;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012950;RIO COSANGA;SC-1;-0,58;-77,85;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018500;GENERAL FARFAN SECTOR NUEVA MONTEPA;DHN-CSMP-04;0,14;-76,8;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
